Variable_Name,Variable_ID,Table_ID,Table_Name,Type,Unit,Full_Name
Work within Northern Ireland: 60km and over,ni0470010,ni047,Place of Work (Distance),Count,Person,Place of Work (Distance): Work within Northern Ireland: 60km and over
"Work outside Northern Ireland: England, Scotland or Wales",ni0470011,ni047,Place of Work (Distance),Count,Person,"Place of Work (Distance): Work outside Northern Ireland: England, Scotland or Wales"
Work outside Northern Ireland: Republic of Ireland,ni0470012,ni047,Place of Work (Distance),Count,Person,Place of Work (Distance): Work outside Northern Ireland: Republic of Ireland
Work outside the United Kingdom and Ireland,ni0470013,ni047,Place of Work (Distance),Count,Person,Place of Work (Distance): Work outside the United Kingdom and Ireland
No fixed place of work,ni0470014,ni047,Place of Work (Distance),Count,Person,Place of Work (Distance): No fixed place of work
All PEOPLE,ni0480001,ni048,Place of Work (Distance) - 8 Categories,Count,Person,Place of Work (Distance) - 8 Categories: All PEOPLE
Work mainly at or from home,ni0480002,ni048,Place of Work (Distance) - 8 Categories,Count,Person,Place of Work (Distance) - 8 Categories: Work mainly at or from home
Work within Northern Ireland: Less than 2km,ni0480003,ni048,Place of Work (Distance) - 8 Categories,Count,Person,Place of Work (Distance) - 8 Categories: Work within Northern Ireland: Less than 2km
Work within Northern Ireland: 2km to less than 5km,ni0480004,ni048,Place of Work (Distance) - 8 Categories,Count,Person,Place of Work (Distance) - 8 Categories: Work within Northern Ireland: 2km to less than 5km
Work within Northern Ireland: 5km to less than 10km,ni0480005,ni048,Place of Work (Distance) - 8 Categories,Count,Person,Place of Work (Distance) - 8 Categories: Work within Northern Ireland: 5km to less than 10km
Work within Northern Ireland: 10km to less than 20km,ni0480006,ni048,Place of Work (Distance) - 8 Categories,Count,Person,Place of Work (Distance) - 8 Categories: Work within Northern Ireland: 10km to less than 20km
Work within Northern Ireland: 20km and over,ni0480007,ni048,Place of Work (Distance) - 8 Categories,Count,Person,Place of Work (Distance) - 8 Categories: Work within Northern Ireland: 20km and over
Work outside Northern Ireland or no fixed place of work,ni0480008,ni048,Place of Work (Distance) - 8 Categories,Count,Person,Place of Work (Distance) - 8 Categories: Work outside Northern Ireland or no fixed place of work
All PEOPLE,ni0500001,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: All PEOPLE
Economically active: Economically active (excluding full-time students): Employee,ni0500002,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically active: Economically active (excluding full-time students): Employee
Economically active: Economically active (excluding full-time students): Self-employed with employees,ni0500003,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically active: Economically active (excluding full-time students): Self-employed with employees
Economically active: Economically active (excluding full-time students): Self-employed without employees,ni0500004,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically active: Economically active (excluding full-time students): Self-employed without employees
Economically active: Economically active (excluding full-time students): Unemployed,ni0500005,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically active: Economically active (excluding full-time students): Unemployed
Economically active: Full-time student: In employment,ni0500006,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically active: Full-time student: In employment
Economically active: Full-time student: Unemployed,ni0500007,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically active: Full-time student: Unemployed
Economically inactive: Retired,ni0500008,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically inactive: Retired
Economically inactive: Student,ni0500009,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically inactive: Student
Economically inactive: Looking after home or family,ni0500010,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically inactive: Looking after home or family
Economically inactive: Long-term sick or disabled,ni0500011,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically inactive: Long-term sick or disabled
Economically inactive: Other,ni0500012,ni050,Economic Activity - 12 Categories,Count,Person,Economic Activity - 12 Categories: Economically inactive: Other
All PEOPLE,ni0510001,ni051,Economic Activity - 3 Categories,Count,Person,Economic Activity - 3 Categories: All PEOPLE
In employment (including full-time students),ni0510002,ni051,Economic Activity - 3 Categories,Count,Person,Economic Activity - 3 Categories: In employment (including full-time students)
Not in employment,ni0510003,ni051,Economic Activity - 3 Categories,Count,Person,Economic Activity - 3 Categories: Not in employment
All PEOPLE,ni0520001,ni052,Economic Activity - 4 Categories,Count,Person,Economic Activity - 4 Categories: All PEOPLE
Economically active: In employment (including full-time students),ni0520002,ni052,Economic Activity - 4 Categories,Count,Person,Economic Activity - 4 Categories: Economically active: In employment (including full-time students)
Economically active: Unemployed (including full-time students),ni0520003,ni052,Economic Activity - 4 Categories,Count,Person,Economic Activity - 4 Categories: Economically active: Unemployed (including full-time students)
Economically inactive,ni0520004,ni052,Economic Activity - 4 Categories,Count,Person,Economic Activity - 4 Categories: Economically inactive
All PEOPLE,ni0530001,ni053,Economic Activity - 5 Categories,Count,Person,Economic Activity - 5 Categories: All PEOPLE
Economically active: Employee (including full-time students),ni0530002,ni053,Economic Activity - 5 Categories,Count,Person,Economic Activity - 5 Categories: Economically active: Employee (including full-time students)
Economically active: Self-employed (including full-time students),ni0530003,ni053,Economic Activity - 5 Categories,Count,Person,Economic Activity - 5 Categories: Economically active: Self-employed (including full-time students)
Economically active: Unemployed (including full-time students),ni0530004,ni053,Economic Activity - 5 Categories,Count,Person,Economic Activity - 5 Categories: Economically active: Unemployed (including full-time students)
Economically inactive,ni0530005,ni053,Economic Activity - 5 Categories,Count,Person,Economic Activity - 5 Categories: Economically inactive
All PEOPLE,ni0540001,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: All PEOPLE
Economically active: Employee (including full-time students),ni0540002,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: Economically active: Employee (including full-time students)
Economically active: Self-employed (including full-time students),ni0540003,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: Economically active: Self-employed (including full-time students)
Economically active: Unemployed (including full-time students),ni0540004,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: Economically active: Unemployed (including full-time students)
Economically inactive: Retired,ni0540005,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: Economically inactive: Retired
Economically inactive: Student,ni0540006,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: Economically inactive: Student
Economically inactive: Looking after home or family,ni0540007,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: Economically inactive: Looking after home or family
Economically inactive: Long-term sick or disabled,ni0540008,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: Economically inactive: Long-term sick or disabled
Economically inactive: Other,ni0540009,ni054,Economic Activity - 9 Categories,Count,Person,Economic Activity - 9 Categories: Economically inactive: Other
All PEOPLE,ni0550001,ni055,Economic Activity,Count,Person,Economic Activity: All PEOPLE
Economically active (excluding full-time students): In employment: Employee,ni0550002,ni055,Economic Activity,Count,Person,Economic Activity: Economically active (excluding full-time students): In employment: Employee
Economically active (excluding full-time students): In employment: Self-employed with employees,ni0550003,ni055,Economic Activity,Count,Person,Economic Activity: Economically active (excluding full-time students): In employment: Self-employed with employees
Economically active (excluding full-time students): In employment: Self-employed without employees,ni0550004,ni055,Economic Activity,Count,Person,Economic Activity: Economically active (excluding full-time students): In employment: Self-employed without employees
Economically active (excluding full-time students): Unemployed,ni0550005,ni055,Economic Activity,Count,Person,Economic Activity: Economically active (excluding full-time students): Unemployed
Economically active full-time students: In employment: Employee,ni0550006,ni055,Economic Activity,Count,Person,Economic Activity: Economically active full-time students: In employment: Employee
Economically active full-time students: In employment: Self-employed with employees,ni0550007,ni055,Economic Activity,Count,Person,Economic Activity: Economically active full-time students: In employment: Self-employed with employees
Economically active full-time students: In employment: Self-employed without employees,ni0550008,ni055,Economic Activity,Count,Person,Economic Activity: Economically active full-time students: In employment: Self-employed without employees
Economically active full-time students: Unemployed,ni0550009,ni055,Economic Activity,Count,Person,Economic Activity: Economically active full-time students: Unemployed
Economically inactive: Retired,ni0550010,ni055,Economic Activity,Count,Person,Economic Activity: Economically inactive: Retired
Economically inactive: Student,ni0550011,ni055,Economic Activity,Count,Person,Economic Activity: Economically inactive: Student
Economically inactive: Looking after home or family,ni0550012,ni055,Economic Activity,Count,Person,Economic Activity: Economically inactive: Looking after home or family
Economically inactive: Long-term sick or disabled,ni0550013,ni055,Economic Activity,Count,Person,Economic Activity: Economically inactive: Long-term sick or disabled
Economically inactive: Other,ni0550014,ni055,Economic Activity,Count,Person,Economic Activity: Economically inactive: Other
All PEOPLE,ni0560001,ni056,English Language Proficiency,Count,Person,English Language Proficiency: All PEOPLE
Main Language is English,ni0560002,ni056,English Language Proficiency,Count,Person,English Language Proficiency: Main Language is English
Main Language is not English: Can speak English very well,ni0560003,ni056,English Language Proficiency,Count,Person,English Language Proficiency: Main Language is not English: Can speak English very well
Main Language is not English: Can speak English well,ni0560004,ni056,English Language Proficiency,Count,Person,English Language Proficiency: Main Language is not English: Can speak English well
Main Language is not English: Cannot speak English well,ni0560005,ni056,English Language Proficiency,Count,Person,English Language Proficiency: Main Language is not English: Cannot speak English well
Main Language is not English: Cannot speak English,ni0560006,ni056,English Language Proficiency,Count,Person,English Language Proficiency: Main Language is not English: Cannot speak English
All PEOPLE,ni0570001,ni057,English Language Proficiency - 4 Categories,Count,Person,English Language Proficiency - 4 Categories: All PEOPLE
Main language is English,ni0570002,ni057,English Language Proficiency - 4 Categories,Count,Person,English Language Proficiency - 4 Categories: Main language is English
Main language is not English: Can speak English very well or well,ni0570003,ni057,English Language Proficiency - 4 Categories,Count,Person,English Language Proficiency - 4 Categories: Main language is not English: Can speak English very well or well
Main language is not English: Cannot speak English or cannot speak English well,ni0570004,ni057,English Language Proficiency - 4 Categories,Count,Person,English Language Proficiency - 4 Categories: Main language is not English: Cannot speak English or cannot speak English well
All PEOPLE,ni0580001,ni058,Ethnic Group - 2 Categories,Count,Person,Ethnic Group - 2 Categories: All PEOPLE
White,ni0580002,ni058,Ethnic Group - 2 Categories,Count,Person,Ethnic Group - 2 Categories: White
Other,ni0580003,ni058,Ethnic Group - 2 Categories,Count,Person,Ethnic Group - 2 Categories: Other
All PEOPLE,ni0590001,ni059,Ethnic Group - 5 Categories,Count,Person,Ethnic Group - 5 Categories: All PEOPLE
White,ni0590002,ni059,Ethnic Group - 5 Categories,Count,Person,Ethnic Group - 5 Categories: White
Asian,ni0590003,ni059,Ethnic Group - 5 Categories,Count,Person,Ethnic Group - 5 Categories: Asian
Black,ni0590004,ni059,Ethnic Group - 5 Categories,Count,Person,Ethnic Group - 5 Categories: Black
Mixed,ni0590005,ni059,Ethnic Group - 5 Categories,Count,Person,Ethnic Group - 5 Categories: Mixed
Other,ni0590006,ni059,Ethnic Group - 5 Categories,Count,Person,Ethnic Group - 5 Categories: Other
All PEOPLE,ni0600001,ni060,Ethnic Group,Count,Person,Ethnic Group: All PEOPLE
White,ni0600002,ni060,Ethnic Group,Count,Person,Ethnic Group: White
Irish Traveller,ni0600003,ni060,Ethnic Group,Count,Person,Ethnic Group: Irish Traveller
Roma,ni0600004,ni060,Ethnic Group,Count,Person,Ethnic Group: Roma
Indian,ni0600005,ni060,Ethnic Group,Count,Person,Ethnic Group: Indian
Chinese,ni0600006,ni060,Ethnic Group,Count,Person,Ethnic Group: Chinese
Filipino,ni0600007,ni060,Ethnic Group,Count,Person,Ethnic Group: Filipino
Pakistani,ni0600008,ni060,Ethnic Group,Count,Person,Ethnic Group: Pakistani
Arab,ni0600009,ni060,Ethnic Group,Count,Person,Ethnic Group: Arab
Other Asian,ni0600010,ni060,Ethnic Group,Count,Person,Ethnic Group: Other Asian
Black African,ni0600011,ni060,Ethnic Group,Count,Person,Ethnic Group: Black African
Black Other,ni0600012,ni060,Ethnic Group,Count,Person,Ethnic Group: Black Other
Mixed,ni0600013,ni060,Ethnic Group,Count,Person,Ethnic Group: Mixed
Other ethnicities,ni0600014,ni060,Ethnic Group,Count,Person,Ethnic Group: Other ethnicities
All PEOPLE,ni0610001,ni061,Health Condition (Autism or Asperger Syndrome),Count,Person,Health Condition (Autism or Asperger Syndrome): All PEOPLE
Has Autism or Asperger syndrome,ni0610002,ni061,Health Condition (Autism or Asperger Syndrome),Count,Person,Health Condition (Autism or Asperger Syndrome): Has Autism or Asperger syndrome
Does not have Autism or Asperger syndrome,ni0610003,ni061,Health Condition (Autism or Asperger Syndrome),Count,Person,Health Condition (Autism or Asperger Syndrome): Does not have Autism or Asperger syndrome
All PEOPLE,ni0620001,ni062,Health Condition (Sight),Count,Person,Health Condition (Sight): All PEOPLE
Has blindness or partial sight loss,ni0620002,ni062,Health Condition (Sight),Count,Person,Health Condition (Sight): Has blindness or partial sight loss
Does not have blindness or partial sight loss,ni0620003,ni062,Health Condition (Sight),Count,Person,Health Condition (Sight): Does not have blindness or partial sight loss
All PEOPLE,ni0630001,ni063,Health Condition (Breathing),Count,Person,Health Condition (Breathing): All PEOPLE
Has shortness of breath or difficulty breathing,ni0630002,ni063,Health Condition (Breathing),Count,Person,Health Condition (Breathing): Has shortness of breath or difficulty breathing
Does not have shortness of breath or difficulty breathing,ni0630003,ni063,Health Condition (Breathing),Count,Person,Health Condition (Breathing): Does not have shortness of breath or difficulty breathing
All PEOPLE,ni0640001,ni064,Health Condition (Memory),Count,Person,Health Condition (Memory): All PEOPLE
Has frequent periods of confusion or memory loss,ni0640002,ni064,Health Condition (Memory),Count,Person,Health Condition (Memory): Has frequent periods of confusion or memory loss
Does not have frequent periods of confusion or memory loss,ni0640003,ni064,Health Condition (Memory),Count,Person,Health Condition (Memory): Does not have frequent periods of confusion or memory loss
All PEOPLE,ni0650001,ni065,Health Condition (Hearing),Count,Person,Health Condition (Hearing): All PEOPLE
Has deafness or partial hearing loss,ni0650002,ni065,Health Condition (Hearing),Count,Person,Health Condition (Hearing): Has deafness or partial hearing loss
Does not have deafness or partial hearing loss,ni0650003,ni065,Health Condition (Hearing),Count,Person,Health Condition (Hearing): Does not have deafness or partial hearing loss
All PEOPLE,ni0660001,ni066,Health Condition (Intellectual or Learning Disability),Count,Person,Health Condition (Intellectual or Learning Disability): All PEOPLE
Has an intellectual or learning disability,ni0660002,ni066,Health Condition (Intellectual or Learning Disability),Count,Person,Health Condition (Intellectual or Learning Disability): Has an intellectual or learning disability
Does not have an intellectual or learning disability,ni0660003,ni066,Health Condition (Intellectual or Learning Disability),Count,Person,Health Condition (Intellectual or Learning Disability): Does not have an intellectual or learning disability
All PEOPLE,ni0670001,ni067,Health Condition (Learning Difficulty),Count,Person,Health Condition (Learning Difficulty): All PEOPLE
Has a learning difficulty,ni0670002,ni067,Health Condition (Learning Difficulty),Count,Person,Health Condition (Learning Difficulty): Has a learning difficulty
Does not have a learning difficulty,ni0670003,ni067,Health Condition (Learning Difficulty),Count,Person,Health Condition (Learning Difficulty): Does not have a learning difficulty
All PEOPLE,ni0680001,ni068,Health Condition (Pain),Count,Person,Health Condition (Pain): All PEOPLE
Has long-term pain or discomfort,ni0680002,ni068,Health Condition (Pain),Count,Person,Health Condition (Pain): Has long-term pain or discomfort
Does not have long-term pain or discomfort,ni0680003,ni068,Health Condition (Pain),Count,Person,Health Condition (Pain): Does not have long-term pain or discomfort
All PEOPLE,ni0690001,ni069,Health Condition (Emotional or Mental Health),Count,Person,Health Condition (Emotional or Mental Health): All PEOPLE
"Has an emotional, psychological or mental health condition",ni0690002,ni069,Health Condition (Emotional or Mental Health),Count,Person,"Health Condition (Emotional or Mental Health): Has an emotional, psychological or mental health condition"
"Does not have an emotional, psychological or mental health condition",ni0690003,ni069,Health Condition (Emotional or Mental Health),Count,Person,"Health Condition (Emotional or Mental Health): Does not have an emotional, psychological or mental health condition"
All PEOPLE,ni0700001,ni070,Health Condition (Mobility - Limits Physical Activity),Count,Person,Health Condition (Mobility - Limits Physical Activity): All PEOPLE
Has a mobility or dexterity difficulty that limits basic physical activities,ni0700002,ni070,Health Condition (Mobility - Limits Physical Activity),Count,Person,Health Condition (Mobility - Limits Physical Activity): Has a mobility or dexterity difficulty that limits basic physical activities
Does not have a mobility or dexterity difficulty that limits basic physical activities,ni0700003,ni070,Health Condition (Mobility - Limits Physical Activity),Count,Person,Health Condition (Mobility - Limits Physical Activity): Does not have a mobility or dexterity difficulty that limits basic physical activities
All PEOPLE,ni0710001,ni071,Health Condition (Mobility - Requires Wheelchair),Count,Person,Health Condition (Mobility - Requires Wheelchair): All PEOPLE
Has a mobility or dexterity difficulty that requires the use of a wheelchair,ni0710002,ni071,Health Condition (Mobility - Requires Wheelchair),Count,Person,Health Condition (Mobility - Requires Wheelchair): Has a mobility or dexterity difficulty that requires the use of a wheelchair
Does not have a mobility or dexterity difficulty that requires the use of a wheelchair,ni0710003,ni071,Health Condition (Mobility - Requires Wheelchair),Count,Person,Health Condition (Mobility - Requires Wheelchair): Does not have a mobility or dexterity difficulty that requires the use of a wheelchair
All PEOPLE,ni0720001,ni072,Health Conditions (Number) - 2 Categories,Count,Person,Health Conditions (Number) - 2 Categories: All PEOPLE
Does not have a long-term condition,ni0720002,ni072,Health Conditions (Number) - 2 Categories,Count,Person,Health Conditions (Number) - 2 Categories: Does not have a long-term condition
1 or more long-term health condition,ni0720003,ni072,Health Conditions (Number) - 2 Categories,Count,Person,Health Conditions (Number) - 2 Categories: 1 or more long-term health condition
All PEOPLE,ni0730001,ni073,Health Conditions (Number) - 3 Categories,Count,Person,Health Conditions (Number) - 3 Categories: All PEOPLE
Does not have a long-term condition,ni0730002,ni073,Health Conditions (Number) - 3 Categories,Count,Person,Health Conditions (Number) - 3 Categories: Does not have a long-term condition
1 long-term health condition,ni0730003,ni073,Health Conditions (Number) - 3 Categories,Count,Person,Health Conditions (Number) - 3 Categories: 1 long-term health condition
2 or more long-term health conditions,ni0730004,ni073,Health Conditions (Number) - 3 Categories,Count,Person,Health Conditions (Number) - 3 Categories: 2 or more long-term health conditions
All PEOPLE,ni0740001,ni074,Health Conditions (Number),Count,Person,Health Conditions (Number): All PEOPLE
Does not have a long-term condition,ni0740002,ni074,Health Conditions (Number),Count,Person,Health Conditions (Number): Does not have a long-term condition
1 long-term health condition,ni0740003,ni074,Health Conditions (Number),Count,Person,Health Conditions (Number): 1 long-term health condition
2 long-term health conditions,ni0740004,ni074,Health Conditions (Number),Count,Person,Health Conditions (Number): 2 long-term health conditions
3 long-term health conditions,ni0740005,ni074,Health Conditions (Number),Count,Person,Health Conditions (Number): 3 long-term health conditions
4 long-term health conditions,ni0740006,ni074,Health Conditions (Number),Count,Person,Health Conditions (Number): 4 long-term health conditions
5 or more long-term health conditions,ni0740007,ni074,Health Conditions (Number),Count,Person,Health Conditions (Number): 5 or more long-term health conditions
All PEOPLE,ni0750001,ni075,Health Condition (Other Condition),Count,Person,Health Condition (Other Condition): All PEOPLE
Has an other condition,ni0750002,ni075,Health Condition (Other Condition),Count,Person,Health Condition (Other Condition): Has an other condition
Does not have an other condition,ni0750003,ni075,Health Condition (Other Condition),Count,Person,Health Condition (Other Condition): Does not have an other condition
All PEOPLE,ni0760001,ni076,Health in General,Count,Person,Health in General: All PEOPLE
Very good health,ni0760002,ni076,Health in General,Count,Person,Health in General: Very good health
Good health,ni0760003,ni076,Health in General,Count,Person,Health in General: Good health
Fair health,ni0760004,ni076,Health in General,Count,Person,Health in General: Fair health
Bad health,ni0760005,ni076,Health in General,Count,Person,Health in General: Bad health
Very bad health,ni0760006,ni076,Health in General,Count,Person,Health in General: Very bad health
All PEOPLE,ni0770001,ni077,Health in General - 2 Categories,Count,Person,Health in General - 2 Categories: All PEOPLE
Very good or good health,ni0770002,ni077,Health in General - 2 Categories,Count,Person,Health in General - 2 Categories: Very good or good health
"Fair, bad or very bad health",ni0770003,ni077,Health in General - 2 Categories,Count,Person,"Health in General - 2 Categories: Fair, bad or very bad health"
All PEOPLE,ni0780001,ni078,Health in General - 3 Categories,Count,Person,Health in General - 3 Categories: All PEOPLE
Very good or good health,ni0780002,ni078,Health in General - 3 Categories,Count,Person,Health in General - 3 Categories: Very good or good health
Fair health,ni0780003,ni078,Health in General - 3 Categories,Count,Person,Health in General - 3 Categories: Fair health
Bad or very bad health,ni0780004,ni078,Health in General - 3 Categories,Count,Person,Health in General - 3 Categories: Bad or very bad health
All PEOPLE,ni0800001,ni080,Household: Adaptation to Accommodation - 3 Categories,Count,Person,Household: Adaptation to Accommodation - 3 Categories: All PEOPLE
Accommodation has not been designed or adapted,ni0800002,ni080,Household: Adaptation to Accommodation - 3 Categories,Count,Person,Household: Adaptation to Accommodation - 3 Categories: Accommodation has not been designed or adapted
Accommodation has been designed or adapted,ni0800003,ni080,Household: Adaptation to Accommodation - 3 Categories,Count,Person,Household: Adaptation to Accommodation - 3 Categories: Accommodation has been designed or adapted
All PEOPLE,ni0810001,ni081,Household: Adaptation to Accommodation,Count,Person,Household: Adaptation to Accommodation: All PEOPLE
Accommodation has not been designed or adapted,ni0810002,ni081,Household: Adaptation to Accommodation,Count,Person,Household: Adaptation to Accommodation: Accommodation has not been designed or adapted
One,ni0810003,ni081,Household: Adaptation to Accommodation,Count,Person,Household: Adaptation to Accommodation: One
Two,ni0810004,ni081,Household: Adaptation to Accommodation,Count,Person,Household: Adaptation to Accommodation: Two
Three,ni0810005,ni081,Household: Adaptation to Accommodation,Count,Person,Household: Adaptation to Accommodation: Three
Four or more,ni0810006,ni081,Household: Adaptation to Accommodation,Count,Person,Household: Adaptation to Accommodation: Four or more
All PEOPLE,ni0820001,ni082,Household: Car or Van Availability - 3 Categories,Count,Person,Household: Car or Van Availability - 3 Categories: All PEOPLE
No cars or vans available,ni0820002,ni082,Household: Car or Van Availability - 3 Categories,Count,Person,Household: Car or Van Availability - 3 Categories: No cars or vans available
1 or more cars or vans available,ni0820003,ni082,Household: Car or Van Availability - 3 Categories,Count,Person,Household: Car or Van Availability - 3 Categories: 1 or more cars or vans available
All PEOPLE,ni0830001,ni083,Household: Car or Van Availability - 4 Categories,Count,Person,Household: Car or Van Availability - 4 Categories: All PEOPLE
No cars or vans available,ni0830002,ni083,Household: Car or Van Availability - 4 Categories,Count,Person,Household: Car or Van Availability - 4 Categories: No cars or vans available
1 car or van available,ni0830003,ni083,Household: Car or Van Availability - 4 Categories,Count,Person,Household: Car or Van Availability - 4 Categories: 1 car or van available
2 or more cars or vans available,ni0830004,ni083,Household: Car or Van Availability - 4 Categories,Count,Person,Household: Car or Van Availability - 4 Categories: 2 or more cars or vans available
All PEOPLE,ni0840001,ni084,Household: Car or Van Availability,Count,Person,Household: Car or Van Availability: All PEOPLE
No cars or vans available,ni0840002,ni084,Household: Car or Van Availability,Count,Person,Household: Car or Van Availability: No cars or vans available
1 car or van available,ni0840003,ni084,Household: Car or Van Availability,Count,Person,Household: Car or Van Availability: 1 car or van available
2 cars or vans available,ni0840004,ni084,Household: Car or Van Availability,Count,Person,Household: Car or Van Availability: 2 cars or vans available
3 cars or vans available,ni0840005,ni084,Household: Car or Van Availability,Count,Person,Household: Car or Van Availability: 3 cars or vans available
4 cars or vans available,ni0840006,ni084,Household: Car or Van Availability,Count,Person,Household: Car or Van Availability: 4 cars or vans available
5 or more cars or vans available,ni0840007,ni084,Household: Car or Van Availability,Count,Person,Household: Car or Van Availability: 5 or more cars or vans available
All PEOPLE,ni0850001,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: All PEOPLE
Oil only,ni0850002,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Oil only
Mains gas only,ni0850003,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Mains gas only
Electric (for example storage heaters) only,ni0850004,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Electric (for example storage heaters) only
Tank or bottled gas only,ni0850005,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Tank or bottled gas only
Solid fuel (for example coal) only,ni0850006,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Solid fuel (for example coal) only
Renewable heating system only,ni0850007,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Renewable heating system only
Wood (for example logs or waste wood) only,ni0850008,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Wood (for example logs or waste wood) only
Other central heating only,ni0850009,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Other central heating only
Two or more types of central heating,ni0850010,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: Two or more types of central heating
No central heating,ni0850011,ni085,Household: Central Heating - 11 Categories,Count,Person,Household: Central Heating - 11 Categories: No central heating
All PEOPLE,ni0860001,ni086,Household: Central Heating - 4 Categories,Count,Person,Household: Central Heating - 4 Categories: All PEOPLE
One type of central heating,ni0860002,ni086,Household: Central Heating - 4 Categories,Count,Person,Household: Central Heating - 4 Categories: One type of central heating
Two or more types of central heating,ni0860003,ni086,Household: Central Heating - 4 Categories,Count,Person,Household: Central Heating - 4 Categories: Two or more types of central heating
No central heating,ni0860004,ni086,Household: Central Heating - 4 Categories,Count,Person,Household: Central Heating - 4 Categories: No central heating
All PEOPLE,ni0870001,ni087,Household: Central Heating - 5 Categories,Count,Person,Household: Central Heating - 5 Categories: All PEOPLE
Oil only,ni0870002,ni087,Household: Central Heating - 5 Categories,Count,Person,Household: Central Heating - 5 Categories: Oil only
Mains gas only,ni0870003,ni087,Household: Central Heating - 5 Categories,Count,Person,Household: Central Heating - 5 Categories: Mains gas only
Other central heating,ni0870004,ni087,Household: Central Heating - 5 Categories,Count,Person,Household: Central Heating - 5 Categories: Other central heating
No central heating,ni0870005,ni087,Household: Central Heating - 5 Categories,Count,Person,Household: Central Heating - 5 Categories: No central heating
All PEOPLE,ni0880001,ni088,Household: Central Heating - 3 Categories,Count,Person,Household: Central Heating - 3 Categories: All PEOPLE
Household does not have central heating,ni0880002,ni088,Household: Central Heating - 3 Categories,Count,Person,Household: Central Heating - 3 Categories: Household does not have central heating
Household has central heating,ni0880003,ni088,Household: Central Heating - 3 Categories,Count,Person,Household: Central Heating - 3 Categories: Household has central heating
All PEOPLE,ni0890001,ni089,Household: Central Heating,Count,Person,Household: Central Heating: All PEOPLE
One type of central heating: Oil,ni0890002,ni089,Household: Central Heating,Count,Person,Household: Central Heating: One type of central heating: Oil
One type of central heating: Mains gas,ni0890003,ni089,Household: Central Heating,Count,Person,Household: Central Heating: One type of central heating: Mains gas
One type of central heating: Electric (for example storage heaters),ni0890004,ni089,Household: Central Heating,Count,Person,Household: Central Heating: One type of central heating: Electric (for example storage heaters)
One type of central heating: Tank or bottled gas,ni0890005,ni089,Household: Central Heating,Count,Person,Household: Central Heating: One type of central heating: Tank or bottled gas
One type of central heating: Solid fuel (for example coal),ni0890006,ni089,Household: Central Heating,Count,Person,Household: Central Heating: One type of central heating: Solid fuel (for example coal)
One type of central heating: Renewable heating system,ni0890007,ni089,Household: Central Heating,Count,Person,Household: Central Heating: One type of central heating: Renewable heating system
One type of central heating: Wood (for example logs or waste wood),ni0890008,ni089,Household: Central Heating,Count,Person,Household: Central Heating: One type of central heating: Wood (for example logs or waste wood)
One type of central heating: Other,ni0890009,ni089,Household: Central Heating,Count,Person,Household: Central Heating: One type of central heating: Other
Two or more types of central heating: Oil and solid fuel (for example coal),ni0890010,ni089,Household: Central Heating,Count,Person,Household: Central Heating: Two or more types of central heating: Oil and solid fuel (for example coal)
