Variable_Name,Variable_ID,Table_ID,Table_Name,Type,Unit,Full_Name
Other household types: Total,UV1120021,UV112,Household composition - People,Count,Person,Household composition - People - Other household types: Total
Other household types: One dependent child,UV1120022,UV112,Household composition - People,Count,Person,Household composition - People - Other household types: One dependent child
Other household types: Two or more dependent children,UV1120023,UV112,Household composition - People,Count,Person,Household composition - People - Other household types: Two or more dependent children
Other household types: All full-time students,UV1120024,UV112,Household composition - People,Count,Person,Household composition - People - Other household types: All full-time students
Other household types: All aged 66 and over,UV1120025,UV112,Household composition - People,Count,Person,Household composition - People - Other household types: All aged 66 and over
Other household types: Other,UV1120026,UV112,Household composition - People,Count,Person,Household composition - People - Other household types: Other
All people aged 16 and over,UV9010001,UV901,UK Armed Forces veterans,Count,Person,UK Armed Forces veterans - All people aged 16 and over
UK Armed Forces veteran,UV9010002,UV901,UK Armed Forces veterans,Count,Person,UK Armed Forces veterans - UK Armed Forces veteran
Not a UK Armed Forces veteran,UV9010003,UV901,UK Armed Forces veterans,Count,Person,UK Armed Forces veterans - Not a UK Armed Forces veteran
All people: All people: Total,UV101b0001,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: All people: Total
All people: All people: 0 - 15,UV101b0002,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: All people: 0 - 15
All people: All people: 16 - 24,UV101b0003,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: All people: 16 - 24
All people: All people: 25 - 34,UV101b0004,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: All people: 25 - 34
All people: All people: 35 - 49,UV101b0005,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: All people: 35 - 49
All people: All people: 50 - 64,UV101b0006,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: All people: 50 - 64
All people: All people: 65 and over,UV101b0007,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: All people: 65 and over
All people: Female: Total,UV101b0008,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Female: Total
All people: Female: 0 - 15,UV101b0009,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Female: 0 - 15
All people: Female: 16 - 24,UV101b0010,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Female: 16 - 24
All people: Female: 25 - 34,UV101b0011,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Female: 25 - 34
All people: Female: 35 - 49,UV101b0012,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Female: 35 - 49
All people: Female: 50 - 64,UV101b0013,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Female: 50 - 64
All people: Female: 65 and over,UV101b0014,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Female: 65 and over
All people: Male: Total,UV101b0015,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Male: Total
All people: Male: 0 - 15,UV101b0016,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Male: 0 - 15
All people: Male: 16 - 24,UV101b0017,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Male: 16 - 24
All people: Male: 25 - 34,UV101b0018,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Male: 25 - 34
All people: Male: 35 - 49,UV101b0019,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Male: 35 - 49
All people: Male: 50 - 64,UV101b0020,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Male: 50 - 64
All people: Male: 65 and over,UV101b0021,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - All people: Male: 65 and over
Lives in a household: All people: Total,UV101b0022,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: All people: Total
Lives in a household: All people: 0 - 15,UV101b0023,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: All people: 0 - 15
Lives in a household: All people: 16 - 24,UV101b0024,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: All people: 16 - 24
Lives in a household: All people: 25 - 34,UV101b0025,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: All people: 25 - 34
Lives in a household: All people: 35 - 49,UV101b0026,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: All people: 35 - 49
Lives in a household: All people: 50 - 64,UV101b0027,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: All people: 50 - 64
Lives in a household: All people: 65 and over,UV101b0028,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: All people: 65 and over
Lives in a household: Female: Total,UV101b0029,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Female: Total
Lives in a household: Female: 0 - 15,UV101b0030,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Female: 0 - 15
Lives in a household: Female: 16 - 24,UV101b0031,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Female: 16 - 24
Lives in a household: Female: 25 - 34,UV101b0032,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Female: 25 - 34
Lives in a household: Female: 35 - 49,UV101b0033,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Female: 35 - 49
Lives in a household: Female: 50 - 64,UV101b0034,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Female: 50 - 64
Lives in a household: Female: 65 and over,UV101b0035,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Female: 65 and over
Lives in a household: Male: Total,UV101b0036,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Male: Total
Lives in a household: Male: 0 - 15,UV101b0037,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Male: 0 - 15
Lives in a household: Male: 16 - 24,UV101b0038,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Male: 16 - 24
Lives in a household: Male: 25 - 34,UV101b0039,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Male: 25 - 34
Lives in a household: Male: 35 - 49,UV101b0040,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Male: 35 - 49
Lives in a household: Male: 50 - 64,UV101b0041,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Male: 50 - 64
Lives in a household: Male: 65 and over,UV101b0042,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a household: Male: 65 and over
Lives in a communal establishment: All people: Total,UV101b0043,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: All people: Total
Lives in a communal establishment: All people: 0 - 15,UV101b0044,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: All people: 0 - 15
Lives in a communal establishment: All people: 16 - 24,UV101b0045,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: All people: 16 - 24
Lives in a communal establishment: All people: 25 - 34,UV101b0046,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: All people: 25 - 34
Lives in a communal establishment: All people: 35 - 49,UV101b0047,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: All people: 35 - 49
Lives in a communal establishment: All people: 50 - 64,UV101b0048,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: All people: 50 - 64
Lives in a communal establishment: All people: 65 and over,UV101b0049,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: All people: 65 and over
Lives in a communal establishment: Female: Total,UV101b0050,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Female: Total
Lives in a communal establishment: Female: 0 - 15,UV101b0051,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Female: 0 - 15
Lives in a communal establishment: Female: 16 - 24,UV101b0052,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Female: 16 - 24
Lives in a communal establishment: Female: 25 - 34,UV101b0053,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Female: 25 - 34
Lives in a communal establishment: Female: 35 - 49,UV101b0054,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Female: 35 - 49
Lives in a communal establishment: Female: 50 - 64,UV101b0055,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Female: 50 - 64
Lives in a communal establishment: Female: 65 and over,UV101b0056,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Female: 65 and over
Lives in a communal establishment: Male: Total,UV101b0057,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Male: Total
Lives in a communal establishment: Male: 0 - 15,UV101b0058,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Male: 0 - 15
Lives in a communal establishment: Male: 16 - 24,UV101b0059,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Male: 16 - 24
Lives in a communal establishment: Male: 25 - 34,UV101b0060,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Male: 25 - 34
Lives in a communal establishment: Male: 35 - 49,UV101b0061,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Male: 35 - 49
Lives in a communal establishment: Male: 50 - 64,UV101b0062,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Male: 50 - 64
Lives in a communal establishment: Male: 65 and over,UV101b0063,UV101b,Usual resident population by sex by age (6),Count,Person,Usual resident population by sex by age (6) - Lives in a communal establishment: Male: 65 and over
All people,UV3040001,UV304,Long-term health conditions,Count,Person,Long-term health conditions - All people
Deaf or partially hearing impaired,UV3040002,UV304,Long-term health conditions,Count,Person,Long-term health conditions - Deaf or partially hearing impaired
Blind or partially vision impaired,UV3040003,UV304,Long-term health conditions,Count,Person,Long-term health conditions - Blind or partially vision impaired
Full/partial loss of voice or difficulty speaking,UV3040004,UV304,Long-term health conditions,Count,Person,Long-term health conditions - Full/partial loss of voice or difficulty speaking
Physical disability,UV3040005,UV304,Long-term health conditions,Count,Person,Long-term health conditions - Physical disability
Mental health condition,UV3040006,UV304,Long-term health conditions,Count,Person,Long-term health conditions - Mental health condition
"Long-term illness, disease or condition",UV3040007,UV304,Long-term health conditions,Count,Person,"Long-term health conditions - Long-term illness, disease or condition"
All people aged 16 and over in employment the week before the census,UV6060001,UV606,Occupation,Count,Person,Occupation - All people aged 16 and over in employment the week before the census
"Managers, Directors and Senior Officials - Total",UV6060002,UV606,Occupation,Count,Person,"Occupation - Managers, Directors and Senior Officials - Total"
Corporate Managers and Directors,UV6060003,UV606,Occupation,Count,Person,Occupation - Corporate Managers and Directors
Other Managers and Proprietors,UV6060004,UV606,Occupation,Count,Person,Occupation - Other Managers and Proprietors
Professional Occupations - Total,UV6060005,UV606,Occupation,Count,Person,Occupation - Professional Occupations - Total
"Science, Research, Engineering and Technology Professionals",UV6060006,UV606,Occupation,Count,Person,"Occupation - Science, Research, Engineering and Technology Professionals"
Health Professionals,UV6060007,UV606,Occupation,Count,Person,Occupation - Health Professionals
Teaching and Educational Professionals,UV6060008,UV606,Occupation,Count,Person,Occupation - Teaching and Educational Professionals
"Business, Media and Public Service Professionals",UV6060009,UV606,Occupation,Count,Person,"Occupation - Business, Media and Public Service Professionals"
Associate Professional and Technical Occupations - Total,UV6060010,UV606,Occupation,Count,Person,Occupation - Associate Professional and Technical Occupations - Total
"Science, Engineering and Technology Associate Professionals",UV6060011,UV606,Occupation,Count,Person,"Occupation - Science, Engineering and Technology Associate Professionals"
Health and Social Care Associate Professionals,UV6060012,UV606,Occupation,Count,Person,Occupation - Health and Social Care Associate Professionals
Protective Service Occupations,UV6060013,UV606,Occupation,Count,Person,Occupation - Protective Service Occupations
"Culture, Media and Sports Occupations",UV6060014,UV606,Occupation,Count,Person,"Occupation - Culture, Media and Sports Occupations"
Business and Public Service Associate Professionals,UV6060015,UV606,Occupation,Count,Person,Occupation - Business and Public Service Associate Professionals
Administrative and Secretarial Occupations - Total,UV6060016,UV606,Occupation,Count,Person,Occupation - Administrative and Secretarial Occupations - Total
Administrative Occupations,UV6060017,UV606,Occupation,Count,Person,Occupation - Administrative Occupations
Secretarial and related Occupations,UV6060018,UV606,Occupation,Count,Person,Occupation - Secretarial and related Occupations
Skilled Trade Occupations - Total,UV6060019,UV606,Occupation,Count,Person,Occupation - Skilled Trade Occupations - Total
Skilled Agriculture and related Trades,UV6060020,UV606,Occupation,Count,Person,Occupation - Skilled Agriculture and related Trades
"Skilled Metal, Electrical and Electronic Trades",UV6060021,UV606,Occupation,Count,Person,"Occupation - Skilled Metal, Electrical and Electronic Trades"
Skilled Construction and Building Trades,UV6060022,UV606,Occupation,Count,Person,Occupation - Skilled Construction and Building Trades
"Textiles, Printing and Other Skilled Trades",UV6060023,UV606,Occupation,Count,Person,"Occupation - Textiles, Printing and Other Skilled Trades"
"Caring, Leisure and Other Service Occupations - Total",UV6060024,UV606,Occupation,Count,Person,"Occupation - Caring, Leisure and Other Service Occupations - Total"
Caring Personal Service Occupations,UV6060025,UV606,Occupation,Count,Person,Occupation - Caring Personal Service Occupations
"Leisure, Travel and Related Personal Service",UV6060026,UV606,Occupation,Count,Person,"Occupation - Leisure, Travel and Related Personal Service"
Community and Civil Enforcement Occupations,UV6060027,UV606,Occupation,Count,Person,Occupation - Community and Civil Enforcement Occupations
Sales and Customer Service Occupations - Total,UV6060028,UV606,Occupation,Count,Person,Occupation - Sales and Customer Service Occupations - Total
Sales Occupations,UV6060029,UV606,Occupation,Count,Person,Occupation - Sales Occupations
Customer Service Occupations,UV6060030,UV606,Occupation,Count,Person,Occupation - Customer Service Occupations
"Process, Plant and Machine Operatives - Total",UV6060031,UV606,Occupation,Count,Person,"Occupation - Process, Plant and Machine Operatives - Total"
"Process, Plant and Machine Operatives",UV6060032,UV606,Occupation,Count,Person,"Occupation - Process, Plant and Machine Operatives"
Transport and Mobile machine Drivers and Operatives,UV6060033,UV606,Occupation,Count,Person,Occupation - Transport and Mobile machine Drivers and Operatives
Elementary Occupations - Total,UV6060034,UV606,Occupation,Count,Person,Occupation - Elementary Occupations - Total
Elementary Trades and Related Occupations,UV6060035,UV606,Occupation,Count,Person,Occupation - Elementary Trades and Related Occupations
Elementary Administration and Service Occupations,UV6060036,UV606,Occupation,Count,Person,Occupation - Elementary Administration and Service Occupations
All people aged 3 and over: All people aged 3 and over,UV212b0001,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - All people aged 3 and over: All people aged 3 and over
All people aged 3 and over: 3 - 15,UV212b0002,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - All people aged 3 and over: 3 - 15
All people aged 3 and over: 16 - 24,UV212b0003,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - All people aged 3 and over: 16 - 24
All people aged 3 and over: 25 - 34,UV212b0004,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - All people aged 3 and over: 25 - 34
All people aged 3 and over: 35 - 49,UV212b0005,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - All people aged 3 and over: 35 - 49
All people aged 3 and over: 50 - 64,UV212b0006,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - All people aged 3 and over: 50 - 64
All people aged 3 and over: 65 and over,UV212b0007,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - All people aged 3 and over: 65 and over
English: All people aged 3 and over,UV212b0008,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - English: All people aged 3 and over
English: 3 - 15,UV212b0009,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - English: 3 - 15
English: 16 - 24,UV212b0010,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - English: 16 - 24
English: 25 - 34,UV212b0011,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - English: 25 - 34
English: 35 - 49,UV212b0012,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - English: 35 - 49
English: 50 - 64,UV212b0013,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - English: 50 - 64
English: 65 and over,UV212b0014,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - English: 65 and over
Scots: All people aged 3 and over,UV212b0015,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Scots: All people aged 3 and over
Scots: 3 - 15,UV212b0016,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Scots: 3 - 15
Scots: 16 - 24,UV212b0017,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Scots: 16 - 24
Scots: 25 - 34,UV212b0018,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Scots: 25 - 34
Scots: 35 - 49,UV212b0019,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Scots: 35 - 49
Scots: 50 - 64,UV212b0020,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Scots: 50 - 64
Scots: 65 and over,UV212b0021,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Scots: 65 and over
Gaelic: All people aged 3 and over,UV212b0022,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Gaelic: All people aged 3 and over
Gaelic: 3 - 15,UV212b0023,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Gaelic: 3 - 15
Gaelic: 16 - 24,UV212b0024,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Gaelic: 16 - 24
Gaelic: 25 - 34,UV212b0025,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Gaelic: 25 - 34
Gaelic: 35 - 49,UV212b0026,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Gaelic: 35 - 49
Gaelic: 50 - 64,UV212b0027,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Gaelic: 50 - 64
Gaelic: 65 and over,UV212b0028,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Gaelic: 65 and over
Sign Language: All people aged 3 and over,UV212b0029,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Sign Language: All people aged 3 and over
Sign Language: 3 - 15,UV212b0030,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Sign Language: 3 - 15
Sign Language: 16 - 24,UV212b0031,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Sign Language: 16 - 24
Sign Language: 25 - 34,UV212b0032,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Sign Language: 25 - 34
Sign Language: 35 - 49,UV212b0033,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Sign Language: 35 - 49
Sign Language: 50 - 64,UV212b0034,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Sign Language: 50 - 64
Sign Language: 65 and over,UV212b0035,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Sign Language: 65 and over
Other language: All people aged 3 and over,UV212b0036,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Other language: All people aged 3 and over
Other language: 3 - 15,UV212b0037,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Other language: 3 - 15
Other language: 16 - 24,UV212b0038,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Other language: 16 - 24
Other language: 25 - 34,UV212b0039,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Other language: 25 - 34
Other language: 35 - 49,UV212b0040,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Other language: 35 - 49
Other language: 50 - 64,UV212b0041,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Other language: 50 - 64
Other language: 65 and over,UV212b0042,UV212b,Main language (5) by age (6),Count,Person,Main language (5) by age (6) - Other language: 65 and over
All people: All people: Total,UV204b0001,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: All people: Total
All people: All people: 0 - 15,UV204b0002,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: All people: 0 - 15
All people: All people: 16 - 24,UV204b0003,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: All people: 16 - 24
All people: All people: 25 - 34,UV204b0004,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: All people: 25 - 34
All people: All people: 35 - 49,UV204b0005,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: All people: 35 - 49
All people: All people: 50 - 64,UV204b0006,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: All people: 50 - 64
All people: All people: 65 and over,UV204b0007,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: All people: 65 and over
All people: Female: Total,UV204b0008,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Female: Total
All people: Female: 0 - 15,UV204b0009,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Female: 0 - 15
All people: Female: 16 - 24,UV204b0010,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Female: 16 - 24
All people: Female: 25 - 34,UV204b0011,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Female: 25 - 34
All people: Female: 35 - 49,UV204b0012,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Female: 35 - 49
All people: Female: 50 - 64,UV204b0013,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Female: 50 - 64
All people: Female: 65 and over,UV204b0014,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Female: 65 and over
All people: Male: Total,UV204b0015,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Male: Total
All people: Male: 0 - 15,UV204b0016,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Male: 0 - 15
All people: Male: 16 - 24,UV204b0017,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Male: 16 - 24
All people: Male: 25 - 34,UV204b0018,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Male: 25 - 34
All people: Male: 35 - 49,UV204b0019,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Male: 35 - 49
All people: Male: 50 - 64,UV204b0020,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Male: 50 - 64
All people: Male: 65 and over,UV204b0021,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - All people: Male: 65 and over
Europe: Total: All people: Total,UV204b0022,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: All people: Total
Europe: Total: All people: 0 - 15,UV204b0023,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: All people: 0 - 15
Europe: Total: All people: 16 - 24,UV204b0024,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: All people: 16 - 24
Europe: Total: All people: 25 - 34,UV204b0025,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: All people: 25 - 34
Europe: Total: All people: 35 - 49,UV204b0026,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: All people: 35 - 49
Europe: Total: All people: 50 - 64,UV204b0027,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: All people: 50 - 64
Europe: Total: All people: 65 and over,UV204b0028,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: All people: 65 and over
Europe: Total: Female: Total,UV204b0029,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Female: Total
Europe: Total: Female: 0 - 15,UV204b0030,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Female: 0 - 15
Europe: Total: Female: 16 - 24,UV204b0031,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Female: 16 - 24
Europe: Total: Female: 25 - 34,UV204b0032,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Female: 25 - 34
Europe: Total: Female: 35 - 49,UV204b0033,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Female: 35 - 49
Europe: Total: Female: 50 - 64,UV204b0034,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Female: 50 - 64
Europe: Total: Female: 65 and over,UV204b0035,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Female: 65 and over
Europe: Total: Male: Total,UV204b0036,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Male: Total
Europe: Total: Male: 0 - 15,UV204b0037,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Male: 0 - 15
Europe: Total: Male: 16 - 24,UV204b0038,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Male: 16 - 24
Europe: Total: Male: 25 - 34,UV204b0039,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Male: 25 - 34
Europe: Total: Male: 35 - 49,UV204b0040,UV204b,Country of birth (14) by sex by age (6),Count,Person,Country of birth (14) by sex by age (6) - Europe: Total: Male: 35 - 49
